,crash_type,report_made,date_time,case_number,district,location,road_type,ticket_arrest,citation_to,biker_gender,biker_city_of_residence,biker_zip_code,driver_gender,driver_city_res,driver_zip_code,injury_to_biker,level_of_injury_to_biker,biker_to_hospital,location_1,count,:@computed_region_jitf_9zyt,:@computed_region_dysk_fpxp,ped_age,ped_gender,ped_city_res,ped_zip_code,injury_to_pedestrian,level_of_injury_to_ped,pedestrian_to_hospital,lanes_of_traffic,signal_present,speed_limit,synopsis,driver_age,biker_age
0,Bike,No,2016-05-17T20:21:00.000,16-096446,Western District,Arundel Street & Charles Ave,City Street,No,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,None,No,"{'latitude': '44.957565', 'longitude': '-93.1187'}",1,10,7,,,,,,,,,,,,,
1,Ped2,,2016-10-03T14:25:01.000,16-202446,,,,,,,,,,,,,,,,1,,,20,Female,St. Paul,55104,Yes,Possible Injury,Yes,,,,,,
2,Pedestrian,No,2016-10-24T10:36:00.000,16-218831,Western District,Grand Ave & Hamline Ave S,Municipal Aid Street,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.940035', 'longitude': '-93.156826'}",1,5,6,,Unknown,Unknown,Unknown,,,,3,Yes,30,Unknown - no report,,
3,Pedestrian,No,2017-01-02T19:06:00.000,17-001113,Eastern District,White Bear Ave N & Minnehaha Ave E,County - State Aid Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.963083', 'longitude': '-93.025319'}",1,14,2,,Female,St. Paul,55106,No,None,No,4,Yes,30,"Unknown - no report.  Comments state the pedestrian was grazed by vehicle, no injuries.",,
4,Pedestrian,Yes,2017-03-14T15:17:00.000,17-055386,Western District,Como Ave & Hendon Street,Municipal State Aid,No,None,,,,Male,Woodbury,55125,,,,"{'latitude': '44.986127', 'longitude': '-93.200381'}",1,1,4,73,Female,St. Paul,55105,Yes,Possible Injury,Yes,2,No,30,"Vehicle was SB Hendon to turn right onto WB Como, after stopping for stop sign.  Pedestrian was crossing EB in N crosswalk.",64,
5,Pedestrian,No,2017-04-22T13:17:00.000,17-088348,Western District,Dale St N & Thomas Ave,County - State Aid Highway,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.959336', 'longitude': '-93.126371'}",1,10,7,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4,Yes,30,waiting on report,,
6,Ped2,,2017-04-17T16:00:01.000,17-084045,,,,,,,,,,,,,,,,1,,,7,Male,St. Paul,55106,Yes,Possible Injury,Yes,,,,ped 2 of 4,,
7,Ped2,,2017-05-12T18:38:01.000,17-106239,,,,No,None,,,,,,,,,,,1,,,6,Male,St. Paul,55106,Yes,Suspected Serious Injury,Yes,,,,Ped 2 of 2,,
8,Pedestrian,Yes,2017-07-17T15:06:00.000,17-165796,Western District,Minnehaha Ave W & Prior,Municipal State Aid,No,None,,,,Unknown,Unknown,Unknown,,,,"{'latitude': '44.96281646', 'longitude': '-93.18218661'}",1,4,4,61,Male,St. Paul,55104,No,None,No,2,Stop Sign,30,Pedestrian crossing Minnehaha SB at Prior in x-walk.  Vehicle was WB and struck pedestrian. Vehicle fled.,,
9,Ped2,,2017-10-30T18:36:01.000,17-254701,,,,,,,,,,,,,,,,1,,,2,Male,St. Paul,55119,Yes,Possible Injury,No,,,,Ped 2 for above crash,,
10,Pedestrian,Yes,2017-11-06T12:41:00.000,17-259666,Central District,Rice St & Sherburne,County - State Aid Highway,Yes,Driver,,,,Female,St. Paul,55106,,,,"{'latitude': '44.95684246', 'longitude': '-93.10600533'}",1,10,7,56,Female,St. Paul,55103,Yes,Possible Injury,Yes,4,No,30,Pedestrian crossing in marked crosswalk.  Vehicle was SB Rice and struck pedestrian.,41,
11,Ped2,,2018-01-21T21:45:01.000,18-014273,,,,,Pedestrian,,,,,,,,,,,1,,,62,Male,St. Paul,55103,Yes,Possible Injury,No,,,,"Stats for above crash, adding ped 2",,
12,Ped2,,2018-02-13T16:01:01.000,18-031334,,,,,,,,,,,,,,,,1,,,53,Female,St. Paul,55104,Yes,Suspected Minor Injury,No,,,,2nd pedestrian from this crash,,
13,Pedestrian,Yes,2018-03-10T16:25:00.000,18-049752,Central District,Page St E (227) & Harvard St,City,No,None,,,,Male,St. Paul,55107,,,,"{'latitude': '44.92489045', 'longitude': '-93.0774458'}",1,7,5,4,Female,St. Paul,55107,Yes,Possible Injury,Yes,2,No,30,4 y/o darted out into street between cars and was struck.,54,
14,Pedestrian,Yes,2018-05-07T17:00:00.000,18-095740,Central District,Acker St E & Cortland Pl,Private,No,None,,,,Female,Minneapolis,55407,,,,"{'latitude': '44.96399703', 'longitude': '-93.09589338'}",1,3,3,3,Male,St. Paul,55117,Yes,Suspected Minor Injury,Yes,0,No,10,Driver backed out of a driveway and struck a pedestrian.,37,
15,Ped2,,2018-06-18T23:55:01.000,18-132780,,,,,,,,,,,,,,,,1,,,53,Female,St. Paul,55106,No,None,No,,,,2nd pedestrian from this crash,,
16,Pedestrian,Yes,2018-10-01T07:08:00.000,18-225521,Central District,Western Ave N & Rose Ave W,Municiapl State Aid,No,None,,,,Female,Little Canada,55117,,,,"{'latitude': '44.97609868', 'longitude': '-93.11614803'}",1,3,3,4,Female,St. Paul,55117,No,None,No,2,No,30,Driver was SB Western.  Pedestrian was waiting for the school bus and then ran into traffic.  [SRTS],60,
